YEAR,JAN,FEB,Winter,MAR,APR,MAY,PreMonsoon,JUN,JUL,AUG,SEP,Monsoon,OCT,NOV,DEC,PostMonsoon
1981,15.01,16.89,15.95,22.01,25.06,26.74,24.60333333,27.48,27.16,27.13,26.62,27.0975,23.13,18.49,14.96,18.86
1982,15.61,17.21,16.41,21.06,25.9,26.8,24.58666667,27.35,27.48,26.9,26.41,27.035,23.74,18.99,13.44,18.72333333
1983,12.99,16.87,14.93,21.52,24.73,27.21,24.48666667,27.8,27.6,27.12,26.55,27.2675,23.44,18.41,13.07,18.30666667
1984,13.78,13.47,13.625,19.39,25.96,27.33,24.22666667,27.34,26.92,26.95,25.63,26.71,24.15,17.05,12.76,17.98666667
1985,14.94,14.92,14.93,21.85,25.83,26.9,24.86,27.79,26.57,27.02,26.26,26.91,23.15,18.02,14.86,18.67666667
1986,12.52,16.19,14.355,20.79,25.96,26.49,24.41333333,27.48,26.96,27.04,26.12,26.9,23.16,19.73,15.88,19.59
1987,13.1,16.65,14.875,21.01,24.89,26.82,24.24,27.96,27.6,27.02,26.86,27.36,23.88,19.44,14.58,19.3
1988,12.52,16.58,14.55,21.26,25.71,27.56,24.84333333,27.59,27.33,27.23,26.85,27.25,23.21,18.6,15.44,19.08333333
1989,10.3,14.65,12.475,19.32,24.25,26.87,23.48,27.23,27.1,26.76,26.58,26.9175,24.48,18.34,13.8,18.87333333
1990,12.98,18.71,15.845,21.83,25.23,27.08,24.71333333,27.62,27.03,27.01,26.62,27.07,23.2,20.06,14.82,19.36
1991,13.65,17.49,15.57,23.14,25.2,27.98,25.44,27.49,27.3,27.23,26.51,27.1325,23.7,17.52,14.87,18.69666667
1992,13.58,16.83,15.205,21.09,24.78,26.64,24.17,27.51,27.07,26.8,26.09,26.8675,23.83,18.72,13.05,18.53333333
1993,13.22,16.93,15.075,19.13,25.51,27.36,24,27.62,27.34,27.21,26.3,27.1175,24.15,19.05,13.48,18.89333333
1994,13.96,16.16,15.06,21.77,25.29,27.48,24.84666667,27.54,27.08,27.01,25.71,26.835,23.72,18.68,12.54,18.31333333
1995,11.4,16.94,14.17,20.47,25.21,27.06,24.24666667,27.62,27.13,27.05,26.61,27.1025,24.13,19.23,14.76,19.37333333
1996,14.91,17,15.955,22.39,25.1,27.51,25,27.27,27.28,26.72,26.54,26.9525,23.04,17.67,12.02,17.57666667
1997,12.46,15.99,14.225,22.55,24.49,27.01,24.68333333,27.62,27.35,27.17,26.32,27.115,23.42,20.85,15.69,19.98666667
1998,14.01,17.33,15.67,20.12,25.72,27.99,24.61,28.33,27.69,27.33,26.72,27.5175,25.54,21.24,14.7,20.49333333
1999,12.91,16.74,14.825,20.01,26.18,27.48,24.55666667,27.25,27.2,26.98,26.44,26.9675,24.83,18.52,15.72,19.69
2000,13.61,17.18,15.395,19.96,26.23,27.25,24.48,27.4,27.12,27.07,26.4,26.9975,24.59,20.17,13.58,19.44666667
2001,11.55,16.22,13.885,21.05,25.43,27.78,24.75333333,27.16,27.19,27.33,26.63,27.0775,25.24,20.99,14.18,20.13666667
2002,15.31,16.55,15.93,21.62,26.15,27.94,25.23666667,27.76,27.55,26.95,26.36,27.155,23.59,19.47,14.94,19.33333333
2003,11.97,18.23,15.1,20.91,26.51,27.38,24.93333333,27.88,27.44,27.41,26.8,27.3825,25.23,19.02,15.24,19.83
2004,14.03,15.75,14.89,21.48,26.3,27.85,25.21,27.62,27.15,27.15,26.43,27.0875,23.49,18.95,16.34,19.59333333
2005,14.83,18.3,16.565,23.3,25.55,27.7,25.51666667,28.16,27.3,27.37,26.69,27.38,24.94,18.16,14.93,19.34333333
2006,13.44,18.52,15.98,21.07,26.06,27.3,24.81,27.62,27.43,26.99,26.51,27.1375,24.62,20.02,15.34,19.99333333
2007,12.91,17.74,15.325,19.9,25.99,27.38,24.42333333,27.9,27.3,27.08,26.65,27.2325,23.9,20.27,14.08,19.41666667
2008,14.17,15.47,14.82,22.32,25.04,27.55,24.97,27.2,27.19,27.02,26.29,26.925,24.01,20,17.19,20.4
2009,15.9,16.33,16.115,20.15,25.14,27.19,24.16,28.08,27.56,27.19,26.8,27.4075,23.12,20.05,15.29,19.48666667
2010,12.37,16.58,14.475,22.33,26.92,27.9,25.71666667,28.22,27.38,27.07,26.61,27.32,24.96,21.85,15.19,20.66666667
2011,12.98,16.27,14.625,21.87,25.12,27.64,24.87666667,27.66,27.08,26.94,26.63,27.0775,24.65,20.05,15.18,19.96
2012,15.3,16.07,15.685,20.26,26.26,27.7,24.74,28.44,27.43,27.19,26.6,27.415,22.67,17.98,13.25,17.96666667
2013,11.62,15.12,13.37,20.62,25.37,27.94,24.64333333,27.62,27.49,26.98,26.79,27.22,25.01,19.06,15.83,19.96666667
2014,13.87,16.72,15.295,21.08,25.34,27.62,24.68,28.55,27.76,27.32,26.68,27.5775,24.16,18.08,13.08,18.44
2015,14.06,17.62,15.84,20.58,25.57,27.78,24.64333333,27.69,27.34,27.36,26.79,27.295,24.58,20.7,16.43,20.57
2016,14.9,20.32,17.61,23.5,26.98,27.6,26.02666667,27.75,27.24,27.16,26.73,27.22,24.43,19.2,15.51,19.71333333
2017,14.35,17.33,15.84,21.61,26.31,27.82,25.24666667,27.88,27.42,27.3,27.03,27.4075,25.27,19.58,16.51,20.45333333
2018,12.08,17.51,14.795,21.56,25.52,27.23,24.77,27.71,27.66,27.39,26.78,27.385,23.58,20.07,13.96,19.20333333
2019,13.03,17.18,15.105,22.01,26.03,27.98,25.34,28.48,27.8,27.55,26.8,27.6575,24.74,20.83,15.62,20.39666667
2020,14.33,15.84,15.085,21.46,25.06,27.04,24.52,27.71,27.61,27.7,27.19,27.5525,25.94,19.9,15.4,20.41333333
